RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306|011304|05121/01||BRUNSKOGEN'S AIKO|02028/99|10611/98|1191507|HVIT/ORANGE|||B||M|H|3522981|bk|26.11.2002|29.03.2001|
306|011304|05122/01||BRUNSKOGEN'S ARO|02028/99|10611/98|1191536|HVIT/ORANGE|||D||M|H|3522982|ton|18.09.2002|29.03.2001|
306|011304|05124/01||BRUNSKOGEN'S ANJA|02028/99|10611/98|1191593|HVIT/ORANGE|||B||M|T|3552764|mha|20.09.2002|29.03.2001|
306|011167|04619/01||ORRELEIKENS NIKITA|LOSH827453|18688/97|1176382|HVIT/BRUN|||C||M|T|3010972|#XU|16.06.2006|20.03.2001|
306|991164|04622/99||STILLERUD'S KAISA|DK19229/92|44914/94|1176501|HVIT/ORANGE|||B||M|T|3481943|ton|10.08.2000|22.03.1999|
306|991164|04625/99||STILLERUD'S RANJA|DK19229/92|44914/94|1176586|HVIT/SORT|||A||M|T|3474147|ton|16.01.2002|22.03.1999|
306|840943|04626/84||JACK|03431/76|15293/74|1176605|BRUN/HVIT||||||H|8163574||||
306|991164|04620/99||STILLERUD'S PLATON|DK19229/92|44914/94|1176440|HVIT/SORT|||A||M|H|3474144|ton|10.08.2000|22.03.1999|
306|051353|04757/05||MØYSALEN'S AMI|10973/99|17368/01|1180567|HVIT/LEVERBRUN|||D||M|T|3618947||14.11.2006|23.03.2005|
306|414224|04758/75||TUSSA|04360/73|&9439/72|1180601|HVIT OG BRUN||||||T|8165041||||
